section,year,major_category
Section 03,First-year,stat + other major
Section 03,Sophomore,pubpol only
Section 03,Junior,compsci only
Section 03,Sophomore,compsci only
Section 03,Junior,pubpol only
Section 03,First-year,undecided
Section 03,Sophomore,pubpol only
Section 03,First-year,compsci only
Section 03,Sophomore,stat + other major
Section 03,Sophomore,pubpol only
Section 03,First-year,other
Section 03,First-year,stat + other major
Section 03,Sophomore,compsci only
Section 03,First-year,stats only
