saleyear,salemonth,salesprice,area,beds,baths,stories,yearbuilt,neighborhood,community,lotsize,numfireplaces,fireplace
2011,4,287630.5819,1763,3,2,1.2,1949,Hale,Nokomis,5080,1,TRUE
2015,6,183340.9325,2000,3,1,1,1980,Willard - Hay,Near North,5160,0,FALSE
2011,4,195473.7435,1920,5,2,1,1974,St. Anthony East,Northeast,5160,0,FALSE
2013,9,291115.1166,2728,4,3,1.5,1950,Regina,Nokomis,4640,0,FALSE
2012,4,151868.2997,2516,3,1,1.2,1939,Waite Park,Northeast,5000,0,FALSE
2012,1,131263.4465,2624,4,1,1.5,1926,Willard - Hay,Near North,5800,0,FALSE
2014,5,225265.9908,2880,5,2,2,1906,Central,Powderhorn,5818,0,FALSE
2014,7,106387.2201,1908,3,1,1.5,1910,Cooper,Longfellow,5120,0,FALSE
2005,2,377891.7256,3072,5,4,2,1923,Como,University,5670,2,TRUE
2009,6,231668.29,2275,3,2,2.5,1905,Central,Powderhorn,5818,0,FALSE
2006,12,330690.064,2169,3,3,1.2,1948,Northrop,Nokomis,5043,1,TRUE
2013,6,224054.9291,1890,4,2,1.5,1922,Seward,Longfellow,6273,0,FALSE
2006,9,272698.4615,1740,3,2,1.2,1915,Standish,Powderhorn,5080,0,FALSE
2014,11,257733.7007,2233,4,3,1.2,1941,Waite Park,Northeast,5040,1,TRUE
2015,8,406178.9752,2156,3,2,1.2,1947,Kenny,Southwest,6350,1,TRUE
2014,10,314800.8996,2328,4,2,1,1958,Armatage,Southwest,5715,0,FALSE
2015,7,413759.2445,2312,2,2,1,1947,Armatage,Southwest,8024,1,TRUE
2015,4,556638.4164,3080,5,3,2.2,1914,King Field,Southwest,6261,1,TRUE
2015,6,449348.0133,3570,3,2,1,1989,Hiawatha,Longfellow,10579,1,TRUE
2015,4,791299.7096,4076,6,3,2.5,1900,Lowry Hill,Calhoun-Isles,5748,2,TRUE
2015,8,262120.832,2048,3,2,1.7,1920,Minnehaha,Nokomis,5080,0,FALSE
2014,2,366573.3701,2286,3,2,1,1924,Fulton,Southwest,5418,1,TRUE
2012,11,111491.9416,1672,3,1,1.7,1900,Sheridan,Northeast,4250,0,FALSE
2007,6,261265.2364,1384,1,1,1,1941,Fulton,Southwest,5080,0,FALSE
2006,1,310475.4641,2052,3,3,2,1926,Willard - Hay,Near North,5888,1,TRUE
2006,2,245669.8094,1531,3,1,1.7,1913,Standish,Powderhorn,5000,0,FALSE
2007,6,273706.4381,2461,3,3,1.5,1905,Minnehaha,Nokomis,13056,0,FALSE
2007,11,171202.7472,2373,4,1,1.2,1921,Hiawatha,Longfellow,4329,1,TRUE
2015,5,337236.7205,2366,4,1,1.2,1918,Cooper,Longfellow,5160,0,FALSE
2008,9,353382.0365,2727,4,3,1.2,1924,Audubon Park,Northeast,5000,0,FALSE
2014,10,170485.482,1220,2,1,1.7,1900,Bottineau,Northeast,4096,0,FALSE
2011,11,170128.0439,2160,3,2,1.5,1900,Lyndale,Powderhorn,5289,0,FALSE
2013,5,233482.8563,1610,3,1,2,1952,Bancroft,Powderhorn,5090,0,FALSE
2014,1,115056.9515,1288,2,1,1,1928,Victory,Camden,5066,0,FALSE
2009,8,239221.2286,1720,3,1,1.2,1946,Waite Park,Northeast,5005,0,FALSE
2012,5,231092.7669,2433,2,1,1.2,1922,Audubon Park,Northeast,5000,1,TRUE
2015,6,303651.6391,2328,4,2,2.2,1937,Hiawatha,Longfellow,5776,1,TRUE
2015,9,444003.8063,2896,3,3,1.5,1940,Diamond Lake,Nokomis,6900,1,TRUE
2013,11,267625.9376,2220,3,2,1,1955,Armatage,Southwest,6350,2,TRUE
2007,5,324095.9474,1990,4,2,2,1924,Cooper,Longfellow,6750,0,FALSE
2007,8,453157.0254,2421,3,3,2,1921,Lynnhurst,Southwest,5400,1,TRUE
2012,6,340156.5525,2634,3,3,1.2,1932,Hale,Nokomis,4909,1,TRUE
2007,9,438881.9786,2339,3,2,2,1923,Bryn - Mawr,Calhoun-Isles,5120,1,TRUE
2007,6,273706.4381,1680,2,1,1,1977,Bryn - Mawr,Calhoun-Isles,5400,0,FALSE
2007,8,144017.0273,722,1,1,1,1950,Lind - Bohanon,Camden,5482,0,FALSE
2006,6,202017.4969,1440,2,1,1,1948,Hiawatha,Longfellow,5040,0,FALSE
2012,7,151046.809,1388,2,1,1.2,1928,Morris Park,Nokomis,5120,0,FALSE
2013,8,132525.5294,1760,2,2,1.5,1902,Webber - Camden,Camden,6400,0,FALSE
2007,9,333797.5612,1773,4,2,1.2,1945,Hale,Nokomis,7301,0,FALSE
2013,6,521315.9242,2840,3,3,2,1937,Lynnhurst,Southwest,10580,2,TRUE
2015,8,2328759.458,6053,6,6,2.2,2010,Kenwood,Calhoun-Isles,7992,2,TRUE
2005,4,193001.9618,2250,3,1,1.2,1936,Jordan,Near North,5880,1,TRUE
2014,9,194336.6979,2060,5,2,1.2,1926,Victory,Camden,6407,0,FALSE
2014,8,325727.2804,2740,4,1,1.7,1910,Linden Hills,Southwest,3612,0,FALSE
2005,7,521203.9815,2491,4,2,1.2,1927,Howe,Longfellow,5376,1,TRUE
2011,3,502826.5022,2181,3,2,1.2,1948,Armatage,Southwest,6350,1,TRUE
2007,11,657296.2615,2151,3,2,1.7,1900,ECCO,Calhoun-Isles,5331,1,TRUE
2009,10,240546.3422,2621,3,3,1.2,1913,Bancroft,Powderhorn,5680,0,FALSE
2014,10,290476.8563,2440,3,1,1,1957,Seward,Longfellow,5000,0,FALSE
2015,11,216535.0273,1482,2,1,1.2,1946,Wenonah,Nokomis,4960,0,FALSE
2008,6,256563.7078,1747,2,1,1.5,1922,Windom Park,Northeast,5080,0,FALSE
2009,9,106809.0632,1806,3,1,2,1916,Folwell,Camden,5052,0,FALSE
2009,7,339801.3841,1791,3,2,1.2,1945,Hale,Nokomis,4928,0,FALSE
2013,7,226938.2568,1812,3,2,1.2,1946,Wenonah,Nokomis,5120,0,FALSE
2015,9,145468.2397,2455,3,2,1.5,1915,McKinley,Camden,5819,0,FALSE
2014,7,778363.641,2881,3,2,1.7,1903,Fulton,Southwest,9490,1,TRUE
2005,10,239565.2436,1764,3,1,2,1910,Willard - Hay,Near North,4800,0,FALSE
2005,9,354054.0845,2072,3,2,1.2,1950,Ericsson,Nokomis,5080,0,FALSE
2009,8,295586.0104,2152,3,1,1.2,1939,Windom Park,Northeast,6615,1,TRUE
2005,3,300416.3646,2185,3,2,1.7,1914,Hiawatha,Longfellow,5040,0,FALSE
2005,6,319318.4182,2278,3,2,1.2,1920,Northrop,Nokomis,5250,0,FALSE
2015,5,243680.7271,2045,4,2,1.2,1917,Corcoran,Powderhorn,7182,0,FALSE
2010,5,162556.4361,2304,4,1,1.2,1925,Victory,Camden,5066,1,TRUE
2006,1,131305.2484,1415,2,1,1.5,1913,Audubon Park,Northeast,4680,0,FALSE
2014,2,186077.8528,2038,4,2,1.7,1912,Northeast Park,Northeast,6250,0,FALSE
2007,5,520623.5399,2800,4,1,2,1923,Fulton,Southwest,5120,1,TRUE
2005,5,308629.7107,2212,4,2,1.7,1900,Seward,Longfellow,8210,0,FALSE
2006,5,292661.6195,1908,4,2,1.2,1918,Como,University,5240,0,FALSE
2012,12,214090.4503,2826,3,3,2,2005,Lind - Bohanon,Camden,5376,1,TRUE
2010,9,341363.5826,2436,3,2,1.2,1928,Cooper,Longfellow,6450,0,FALSE
2015,5,221162.017,1868,2,1,1.7,1929,Cleveland,Camden,5047,1,TRUE
2005,11,154876.6078,1544,2,1,1,1922,Cleveland,Camden,5108,0,FALSE
2013,3,332988.3504,2228,3,1,1.7,1917,East Harriet,Southwest,5628,0,FALSE
2013,10,179298.0669,1876,3,1,1.5,1917,Standish,Powderhorn,5040,0,FALSE
2015,9,155238.4946,1377,2,2,1.5,1911,Lind - Bohanon,Camden,5072,0,FALSE
2005,8,283027.9066,1587,2,1,1.5,1922,Windom Park,Northeast,5160,0,FALSE
2015,12,279770.8287,3071,3,2,1.2,1952,Cooper,Longfellow,5160,2,TRUE
2012,3,287338.7615,2026,4,2,2.2,1907,King Field,Southwest,4840,1,TRUE
2010,3,355859.8225,2392,3,2,1.2,1940,Windom,Southwest,6400,1,TRUE
2007,6,515687.8118,2548,3,2,2,1923,Fulton,Southwest,5080,1,TRUE
2005,9,192589.8592,2206,3,1,1.7,1906,Jordan,Near North,5000,0,FALSE
2014,11,146328.3358,1934,2,1,1.5,1914,Powderhorn Park,Powderhorn,5086,0,FALSE
2015,1,395390.1008,2105,4,2,1.2,1946,Kenny,Southwest,5600,1,TRUE
2010,12,245577.8512,1704,4,2,1,1989,Sheridan,Northeast,6336,0,FALSE
2005,8,184066.0887,1400,3,1,1.5,1900,Hawthorne,Near North,5040,0,FALSE
2013,5,366901.6314,2126,4,3,1.2,1947,Armatage,Southwest,6405,1,TRUE
2005,4,299485.8028,2296,3,1,2,1927,Keewaydin,Nokomis,3904,1,TRUE
2015,9,421206.5449,1966,3,2,2,1926,Lynnhurst,Southwest,5120,1,TRUE
2015,10,336089.8891,2392,3,2,2,1921,Cooper,Longfellow,6172,1,TRUE
2015,3,105871.553,1949,4,1,2,1907,Jordan,Near North,7500,0,FALSE
2013,10,764637.2946,2976,3,2,2.2,1920,Fulton,Southwest,8340,1,TRUE
2005,3,226981.2532,1646,3,1,1.5,1917,Webber - Camden,Camden,7578,0,FALSE
2008,12,286609.3341,2786,5,3,2,1949,Armatage,Southwest,5120,0,FALSE
2010,3,290618.855,2988,3,3,2,1928,Willard - Hay,Near North,6600,1,TRUE
2007,10,123617.2349,1430,2,1,1.5,1911,Jordan,Near North,5132,0,FALSE
2005,6,399314.4037,2324,4,2,1.2,1927,Fulton,Southwest,5418,1,TRUE
2015,7,349962.3348,1998,3,2,1.2,1920,Windom,Southwest,6834,1,TRUE
2006,4,269771.0015,1866,3,1,1.2,1922,Folwell,Camden,4992,0,FALSE
2011,8,199548.8842,2680,5,4,1.5,1914,Powderhorn Park,Powderhorn,4906,0,FALSE
2012,2,198735.2636,2544,3,3,2.2,1903,CARAG,Calhoun-Isles,5376,0,FALSE
2010,4,227579.314,1892,4,1,2,1900,Logan Park,Northeast,5174,0,FALSE
2011,6,286603.6387,2400,3,2,1.5,1927,Minnehaha,Nokomis,5400,0,FALSE
2012,4,189554.137,1905,3,1,1.7,1916,Regina,Nokomis,4840,0,FALSE
2010,2,204093.906,2228,2,1,1.2,1917,Northrop,Nokomis,4845,0,FALSE
2007,7,397410.8274,3477,3,2,2.2,1905,Windom Park,Northeast,5074,0,FALSE
2012,5,966249.5862,4556,6,5,2,2011,Linden Hills,Southwest,9810,1,TRUE
2006,9,622947.5345,2899,3,2,1.5,1926,Page,Nokomis,6000,1,TRUE
2006,1,239971.6608,2048,3,1,1.2,1952,Lind - Bohanon,Camden,6500,0,FALSE
2005,4,286175.3227,2128,3,2,1.2,1950,Kenny,Southwest,4826,0,FALSE
2010,9,295297.2168,2664,3,3,2,1925,Ericsson,Nokomis,5040,1,TRUE
2008,9,270808.434,2264,4,2,1,1956,Armatage,Southwest,5904,2,TRUE
2009,6,230467.9361,2353,3,2,1.2,1952,Diamond Lake,Nokomis,5280,0,FALSE
2007,3,185247.2624,904,2,1,1.2,1907,Hiawatha,Longfellow,5120,0,FALSE
2013,5,1056231.969,4070,5,4,1.5,1965,Lynnhurst,Southwest,13500,3,TRUE
2011,11,113380.8645,1849,2,2,1.5,1918,Northrop,Nokomis,5420,0,FALSE
2008,9,189353.8746,1776,1,2,1.2,1923,Northrop,Nokomis,5449,1,TRUE
2011,5,448112.0717,2516,4,2,2,1927,Windom,Southwest,10824,1,TRUE
2006,10,177501.4165,1756,2,2,1.5,1921,Jordan,Near North,5250,0,FALSE
2013,7,204797.939,2484,4,2,1.5,1911,Como,University,5240,0,FALSE
2014,6,288546.91,3036,5,2,1.7,1900,Windom Park,Northeast,4996,0,FALSE
2006,4,1233238.864,4432,4,3,2,1935,Linden Hills,Southwest,9525,2,TRUE
2005,1,457516.4927,2872,4,2,1.7,1928,Hiawatha,Longfellow,6500,1,TRUE
2005,7,295657.5885,1638,2,1,1.5,1914,Cooper,Longfellow,5160,0,FALSE
2009,8,256387.9546,1740,2,1,1.7,1916,Bancroft,Powderhorn,4994,1,TRUE
2006,11,214427.8812,1728,3,1,1.2,1951,McKinley,Camden,5814,0,FALSE
2015,6,265790.1093,2172,2,2,1.2,1913,Corcoran,Powderhorn,8772,1,TRUE
2008,8,265263.1579,1743,3,1,1.2,1950,Windom Park,Northeast,9025,0,FALSE
2006,11,291009.2673,1514,3,1,1.5,1911,Central,Powderhorn,3861,0,FALSE
2007,10,714719.3346,2872,5,4,1.5,1928,Linden Hills,Southwest,5376,0,FALSE
2013,6,152967.4024,1946,4,2,1,1954,Marshall Terrace,Northeast,7385,0,FALSE
2007,7,184423.4621,2188,3,1,1.2,1928,Jordan,Near North,5108,0,FALSE
2012,6,195181.0401,1608,2,2,1,1950,Windom,Southwest,6250,0,FALSE
2007,12,221920.4427,2304,3,2,2,2007,Jordan,Near North,6279,0,FALSE
2015,7,365992.7977,2192,3,2,1.2,1923,Ericsson,Nokomis,5040,1,TRUE
2005,12,318733.4558,2438,3,2,1,1955,Northrop,Nokomis,8016,2,TRUE
2014,1,210389.8541,1767,3,1,1.5,1915,Howe,Longfellow,5376,0,FALSE
2010,1,285340.9696,2362,4,2,1.5,1932,Windom,Southwest,5670,1,TRUE
2006,2,283166.7803,2334,3,1,1.5,1925,Bryant,Powderhorn,5031,1,TRUE
2006,12,272930.3791,1678,3,2,1.2,1914,Hiawatha,Longfellow,8132,0,FALSE
2010,6,1958616.752,5587,5,5,2,1930,Kenwood,Calhoun-Isles,9350,2,TRUE
2009,10,589338.5384,3339,3,2,1.7,1900,Field,Nokomis,6730,1,TRUE
2006,6,622201.6254,2566,3,2,2,1933,Lynnhurst,Southwest,6300,1,TRUE
2007,3,154351.7868,2149,4,1,1.2,1919,Willard - Hay,Near North,5160,0,FALSE
2006,10,389353.8266,1603,3,2,1.7,1908,Whittier,Powderhorn,5142,0,FALSE
2005,9,286764.3549,1392,3,2,1,1925,Regina,Nokomis,4840,0,FALSE
2015,6,270129.5396,2456,4,4,2.5,2001,St. Anthony West,Northeast,5169,0,FALSE
2009,8,137621.017,1964,3,2,1,1958,Shingle Creek,Camden,4996,0,FALSE
2010,5,225324.5782,2031,4,1,1.2,1925,Howe,Longfellow,5600,0,FALSE
2015,7,154888.9318,1545,3,1,1.2,1942,Diamond Lake,Nokomis,6080,0,FALSE
2006,4,924929.148,3816,4,4,2,1958,Cedar - Isles - Dean,Calhoun-Isles,11935,2,TRUE
2006,9,247907.6923,2144,3,2,1.2,1956,Webber - Camden,Camden,5071,0,FALSE
2012,8,156992.319,1940,2,1,1,1955,Windom Park,Northeast,4960,2,TRUE
2012,8,402573.1609,2538,4,3,1.5,1927,Tangletown,Southwest,6400,1,TRUE
2007,8,204851.806,1564,2,1,1,1949,Morris Park,Nokomis,5376,0,FALSE
2015,1,343220.5736,1848,3,2,2,1947,Kenny,Southwest,6350,1,TRUE
2006,11,208684.2772,2028,2,2,1,1954,Standish,Powderhorn,5300,2,TRUE
2005,10,874089.4023,3896,4,4,2,1921,Lynnhurst,Southwest,8400,1,TRUE
2014,1,432833.2937,2529,3,3,2,1932,Howe,Longfellow,7170,3,TRUE
2009,10,233401.4013,2080,2,1,1.2,1925,Longfellow,Longfellow,5120,0,FALSE
2009,6,146443.1677,2604,4,2,1.5,1925,Willard - Hay,Near North,4875,1,TRUE
2013,7,365315.2426,2328,3,2,1.2,1942,Kenny,Southwest,6750,1,TRUE
2013,12,184537.3915,1344,3,1,2,1893,Lyndale,Powderhorn,2728,0,FALSE
2015,7,325483.3847,2373,3,2,1.2,1925,Howe,Longfellow,5120,2,TRUE
2014,3,158390.0215,1536,3,1,1.5,1916,Marshall Terrace,Northeast,4760,1,TRUE
2015,8,227460.2261,1934,2,2,1.2,1923,Wenonah,Nokomis,6407,0,FALSE
2013,7,185425.161,2571,3,1,1.5,1912,Webber - Camden,Camden,6400,0,FALSE
2010,10,329585.3174,2426,3,2,1.2,1932,Keewaydin,Nokomis,5040,1,TRUE
2005,12,227759.7173,2496,4,1,1,1953,Jordan,Near North,7449,2,TRUE
2013,9,210856.9863,2180,3,2,1.5,1930,Windom,Southwest,6738,0,FALSE
2008,3,172729.8077,1536,2,2,1,1922,Longfellow,Longfellow,5040,0,FALSE
2007,3,376648.5016,4344,5,4,2,2007,Linden Hills,Southwest,6400,1,TRUE
2010,6,206663.7434,1604,3,1,1.7,1912,Northrop,Nokomis,4082,0,FALSE
2006,1,517459.1069,4531,5,4,2,2006,Lynnhurst,Southwest,7740,1,TRUE
2015,6,251144.5318,1788,3,2,1.5,1910,Northrop,Nokomis,4082,0,FALSE
2014,8,335824.8261,2415,3,2,1.5,1937,Page,Nokomis,4760,1,TRUE
2009,12,212335.5556,2534,6,2,2.5,1906,Central,Powderhorn,5761,0,FALSE
2012,12,390269.05,3526,3,4,2,1987,St. Anthony East,Northeast,8029,1,TRUE
2005,3,232321.9886,1492,2,1,1,1920,Minnehaha,Nokomis,5400,0,FALSE
2005,6,445901.0842,1728,2,2,1.2,1928,Fulton,Southwest,5080,1,TRUE
2015,5,203429.8927,1612,3,2,1,1922,Howe,Longfellow,6477,0,FALSE
2014,5,263354.4433,1922,3,1,1.2,1952,Kenny,Southwest,5080,0,FALSE
2013,7,213543.3645,1913,3,1,1.7,1913,Holland,Northeast,5675,0,FALSE
2013,8,154613.1177,1135,1,1,1,1917,Howe,Longfellow,5376,0,FALSE
2014,9,179245.7476,1914,4,1,1.5,1900,Windom Park,Northeast,3526,0,FALSE
2005,8,212859.284,2370,4,1,1.2,1927,Folwell,Camden,5580,0,FALSE
2007,6,307919.7429,2573,3,2,1.7,1908,Cooper,Longfellow,6750,0,FALSE
2011,7,121822.8266,1848,3,1,2.2,1909,Cleveland,Camden,5363,0,FALSE
2005,1,361976.2839,2591,2,2,1.2,1922,Linden Hills,Southwest,5628,1,TRUE
